player,team,goals,xg,xag
Harvey Elliott,Liverpool,3,2.58,4.26
Jarrad Branthwaite,Everton,3,1.91,0.93
Jack Harrison,Everton,3,4.15,4.35
Dara O&#039;Shea,Burnley,3,0.91,1.64
Jéremy Doku,Manchester City,3,3.77,5.48
Pape Sarr,Tottenham,3,3.84,2.03
Jayden Bogle,Sheffield United,3,2.6,0.73
Dominik Szoboszlai,Liverpool,3,3.52,5.66
Beto,Everton,3,7.17,1.19
Micky van de Ven,Tottenham,3,0.97,0.04
James McAtee,"Manchester City,Sheffield United",3,3.2,3.07
Marcus Tavernier,Bournemouth,3,4.39,6.26
Kaoru Mitoma,Brighton,3,4.68,3.39
Keane Lewis-Potter,Brentford,3,8.58,1.61
Wilson Odobert,Burnley,3,2.54,4.43
Kobbie Mainoo,Manchester United,3,0.77,0.85
Jack Hinshelwood,Brighton,3,2.16,0.84
Enzo Fernández,Chelsea,3,6.15,3.56
Facundo Buonanotte,Brighton,3,2.97,2.3
Morgan Rogers,Aston Villa,3,1.09,0.9
Timo Werner,Tottenham,2,4.21,3.48
Joelinton,Newcastle United,2,2.56,2.96
Nathan Aké,Manchester City,2,2.18,1.74
Jeffrey Schlupp,Crystal Palace,2,1.88,2.17
Virgil van Dijk,Liverpool,2,3.3,1.86
Jay Rodriguez,Burnley,2,4.62,0.17
Adama Traoré,Fulham,2,1.49,0.7
Josh Cullen,Burnley,2,0.53,1.93
Ben Mee,Brentford,2,1.46,0.25
Harry Maguire,Manchester United,2,2.14,1.31
Álex Moreno,Aston Villa,2,1.44,1.16
Estupiñán,Brighton,2,1.03,3.29
Tosin Adarabioyo,Fulham,2,0.95,0.14
Giovani Lo Celso,Tottenham,2,0.5,1.6
Youri Tielemans,Aston Villa,2,1.0,3.05
Philip Billing,Bournemouth,2,2.87,3.72
Enes Ünal,Bournemouth,2,4.02,1.21
Pau Torres,Aston Villa,2,1.53,0.62
Joachim Andersen,Crystal Palace,2,2.44,2.89
Pedro Neto,Wolverhampton Wanderers,2,3.29,5.22
Manuel Akanji,Manchester City,2,2.2,0.53
Rayan Ait Nouri,Wolverhampton Wanderers,2,3.24,2.35
Nicolo Zaniolo,Aston Villa,2,3.7,0.64
Willy Boly,Nottingham Forest,2,1.47,1.38
Axel Disasi,Chelsea,2,2.68,0.2
William Saliba,Arsenal,2,2.37,0.25
Christian Nørgaard,Brentford,2,3.17,2.97
Diogo Dalot,Manchester United,2,1.33,3.09
Max Kilman,Wolverhampton Wanderers,2,2.6,1.14
Dan Burn,Newcastle United,2,4.11,1.9
Carlos Vinicius,Fulham,2,1.62,0.58
Jean-Ricner Bellegarde,Wolverhampton Wanderers,2,1.36,0.96
Takehiro Tomiyasu,Arsenal,2,1.62,0.59
Anssumane Fati,Brighton,2,3.82,0.66
Tyrick Mitchell,Crystal Palace,2,2.21,3.64
Nicolás Domínguez,Nottingham Forest,2,1.7,0.91
Sven Botman,Newcastle United,2,0.98,1.14
Sasa Kalajdzic,Wolverhampton Wanderers,2,1.35,1.08
Iyenoma Destiny Udogie,Tottenham,2,2.81,2.55
Matthew Cash,Aston Villa,2,4.49,2.97
Kevin Schade,Brentford,2,1.4,0.95
Amadou Onana,Everton,2,2.55,2.41
Kristoffer Ajer,Brentford,2,1.47,2.6
Ethan Pinnock,Brentford,2,3.38,0.58
Jarell Quansah,Liverpool,2,1.43,0.08
Vitalii Mykolenko,Everton,2,1.91,1.25
Anel Ahmedhodzic,Sheffield United,2,3.46,0.95
Rico Lewis,Manchester City,2,0.86,1.76
Luis Sinisterra,Bournemouth,2,2.3,2.32
Danilo,Nottingham Forest,2,1.67,1.53
João Gomes,Wolverhampton Wanderers,2,1.86,1.33
Jacob Brown,Luton,2,3.08,0.84
Luke Berry,Luton,2,1.13,0.06
Alfie Doughty,Luton,2,1.83,6.61
Gabriel Osho,Luton,2,1.25,0.1
Matt Ritchie,Newcastle United,1,1.53,0.0
Anthony Martial,Manchester United,1,1.06,0.28
John Stones,Manchester City,1,0.75,0.26
Christian Eriksen,Manchester United,1,0.69,2.35
Kieran Trippier,Newcastle United,1,0.65,8.59
Ben Davies,Tottenham,1,2.08,0.31
Ola Aina,Nottingham Forest,1,0.3,0.73
Jamaal Lascelles,Newcastle United,1,1.08,0.04
Andros Townsend,Luton,1,1.42,1.46
Craig Dawson,Wolverhampton Wanderers,1,1.36,1.35
Danny Ings,West Ham,1,1.22,0.38
Emerson,West Ham,1,1.6,1.52
Sasa Lukic,Fulham,1,1.28,0.61
Michael Keane,Everton,1,0.93,0.0
Johann Berg Gudmundsson,Burnley,1,2.05,3.14
James Tarkowski,Everton,1,3.34,2.96
Lucas Digne,Aston Villa,1,1.3,2.93
Jefferson Lerma,Crystal Palace,1,2.38,2.44
Raphael Varane,Manchester United,1,1.16,0.08
Casemiro,Manchester United,1,3.12,1.39
Mateo Kovacic,Manchester City,1,1.43,1.69
André Gomes,Everton,1,0.32,0.26
Oleksandr Zinchenko,Arsenal,1,0.57,3.03
Maxwel Cornet,West Ham,1,0.53,0.16
Kenny Tete,Fulham,1,1.18,0.16
Moussa Niakhate,Nottingham Forest,1,1.17,0.1
Zanka,Brentford,1,0.6,0.95
Charlie Taylor,Burnley,1,0.24,1.88
Victor Lindelöf,Manchester United,1,0.43,0.29
Orel Mangala,Nottingham Forest,1,0.89,0.29
Rodrigo Bentancur,Tottenham,1,1.62,0.5
Timothy Castagne,Fulham,1,1.34,1.59
Trevoh Chalobah,Chelsea,1,0.36,0.07
Joe Willock,Newcastle United,1,1.05,0.45
Curtis Jones,Liverpool,1,2.48,0.95
Konstantinos Mavropanos,West Ham,1,0.87,0.1
David Brooks,Bournemouth,1,2.2,0.91
Tom Cairney,Fulham,1,1.01,3.11
Matt Doherty,Wolverhampton Wanderers,1,1.11,1.1
Naif Aguerd,West Ham,1,1.65,0.29
Saman Ghoddos,Brentford,1,0.3,1.03
Tim Ream,Fulham,1,0.96,0.0
Leander Dendoncker,Aston Villa,1,0.81,0.0
Emerson,Tottenham,1,0.18,0.42
James Garner,Everton,1,2.22,5.29
Oliver Norwood,Sheffield United,1,0.99,0.69
Ezri Konsa Ngoyo,Aston Villa,1,2.33,0.69
Mason Mount,Manchester United,1,0.62,0.37
Sandro Tonali,Newcastle United,1,0.86,0.55
Arnaut Danjuma Groeneveld,Everton,1,3.42,0.85
Amad Diallo Traore,Manchester United,1,0.56,1.01
Sander Berge,Burnley,1,2.12,3.18
Jack Robinson,Sheffield United,1,1.51,1.09
Armando Broja,"Chelsea,Fulham",1,2.49,0.74
Chris Richards,Crystal Palace,1,0.64,0.68
Joël Veltman,Brighton,1,0.74,0.52
Wataru Endo,Liverpool,1,0.44,1.49
Jacob Ramsey,Aston Villa,1,2.32,0.92
Lorenz Assignon,Burnley,1,0.41,2.08
Carney Chukwuemeka,Chelsea,1,0.12,0.25
Moisés Caicedo,Chelsea,1,0.3,2.5
Valentino Livramento,Newcastle United,1,0.96,1.08
Hannibal Mejbri,Manchester United,1,0.02,0.22
Dango Ouattara,Bournemouth,1,2.82,1.69
Vitaly Janelt,Brentford,1,2.02,4.31
Frank Onyeka,Brentford,1,2.01,1.85
Mads Roerslev,Brentford,1,1.13,2.06
Albert Sambi Lokonga,Luton,1,0.75,1.49
Nathan Collins,Brentford,1,1.96,2.06
Shandon Baptiste,Brentford,1,0.86,0.43
Jakub Kiwior,Arsenal,1,1.2,0.91
Lewis Dobbin,Everton,1,0.5,0.5
Conor Bradley,Liverpool,1,0.9,1.95
Lewis Hall,Newcastle United,1,0.42,0.3
Toti,Wolverhampton Wanderers,1,1.68,1.21
Luca Koleosho,Burnley,1,2.32,1.46
Ryan Gravenberch,Liverpool,1,1.71,1.09
Kieffer Moore,Bournemouth,1,1.25,0.48
Harry Toffolo,Nottingham Forest,1,1.41,1.48
Levi Colwill,Chelsea,1,0.78,1.24
Vinicius Souza,Sheffield United,1,0.5,0.78
Ryan Yates,Nottingham Forest,1,2.62,1.01
Fábio Vieira,Arsenal,1,1.16,1.31
Antony,Manchester United,1,3.49,3.5
Lewis Miley,Newcastle United,1,1.12,1.55
Illia Zabarnyi,Bournemouth,1,1.74,0.38
Alfie Gilchrist,Chelsea,1,0.64,0.0
Ameen Al Dakhil,Burnley,1,1.22,0.1
Tom Lockyer,Luton,1,1.62,0.38
Mads Andersen,Luton,1,0.69,0.0
Cauley Woodrow,Luton,1,0.98,1.2
Calvin Bassey,Fulham,1,0.37,0.11
Oscar Bobb,Manchester City,1,1.49,1.19
Edson Álvarez,West Ham,1,1.21,0.59
Teden Mengi,Luton,1,0.68,0.35
Alejo Véliz,Tottenham,1,0.21,0.0
Alex Scott,Bournemouth,1,0.64,2.07
Jordan Clark,Luton,1,0.93,1.85
George Earthy,West Ham,1,0.63,0.0
Loris Karius,Newcastle United,0,0.0,0.0
Bernd Leno,Fulham,0,0.0,0.0
Mahmoud Dahoud,Brighton,0,0.16,1.1
Thiago Alcántara,Liverpool,0,0.0,0.0
Joel Matip,Liverpool,0,0.55,0.05
Pierre-Emile Højbjerg,Tottenham,0,0.54,1.13
Odisseas Vlachodimos,Nottingham Forest,0,0.0,0.03
Ivan Perisic,Tottenham,0,0.13,1.16
Divock Origi,Nottingham Forest,0,1.55,1.59
Adam Lallana,Brighton,0,0.76,1.49
Philippe Coutinho,Aston Villa,0,0.14,0.0
James Milner,Brighton,0,0.29,1.49
Mohamed Elneny,Arsenal,0,0.06,0.0
Calum Chambers,Aston Villa,0,0.0,0.06
Joel Ward,Crystal Palace,0,0.79,0.1
Angelo Ogbonna,West Ham,0,0.04,0.0
James Tomkins,Crystal Palace,0,0.0,0.0
Cheikhou Kouyaté,Nottingham Forest,0,0.4,0.06
Aaron Cresswell,West Ham,0,0.0,0.44
Joe Rothwell,Bournemouth,0,0.05,0.14
Seamus Coleman,Everton,0,0.0,0.89
Nathaniel Clyne,Crystal Palace,0,0.18,0.15
Ashley Young,Everton,0,0.57,2.47
Kyle Walker,Manchester City,0,0.37,3.34
Eric Dier,Tottenham,0,0.0,0.0
Bertrand Traoré,Aston Villa,0,0.0,0.0
Lukasz Fabianski,West Ham,0,0.0,0.0
Jack Cork,Burnley,0,0.0,0.0
Jordan Pickford,Everton,0,0.0,0.14
Aleksandar Mitrovic,Fulham,0,0.19,0.0
Ben Chilwell,Chelsea,0,1.22,1.79
Nathan Redmond,Burnley,0,0.0,0.25
Jonny Evans,Manchester United,0,0.08,0.71
Adam Smith,Bournemouth,0,0.04,1.46
Cédric Soares,Arsenal,0,0.0,0.0
Paul Dummett,Newcastle United,0,0.0,0.0
Matt Targett,Newcastle United,0,0.0,0.06
Harrison Reed,Fulham,0,0.29,1.29
Sam Johnstone,Crystal Palace,0,0.0,0.0
Mason Holgate,Sheffield United,0,0.93,0.44
Joseph Gomez,Liverpool,0,0.82,1.5
Luke Shaw,Manchester United,0,0.07,0.95
Tyrone Mings,Aston Villa,0,0.01,0.14
Tom Davies,Sheffield United,0,0.25,0.03
Thomas Strakosha,Brentford,0,0.0,0.0
Alisson,Liverpool,0,0.0,0.0
Neto,Bournemouth,0,0.0,0.0
Jorginho,Arsenal,0,0.08,1.55
Emil Krafth,Newcastle United,0,0.23,0.97
Reece Burke,Luton,0,2.16,2.32
Lewis Cook,Bournemouth,0,0.41,3.68
Ionut Radu,Bournemouth,0,0.0,0.0
Jonny,Wolverhampton Wanderers,0,0.0,0.0
Alphonse Areola,West Ham,0,0.0,0.0
Thomas Partey,Arsenal,0,0.36,0.43
Pablo Fornals,West Ham,0,0.29,0.57
Aymeric Laporte,Manchester City,0,0.11,0.0
Thilo Kehrer,West Ham,0,0.0,0.0
Issa Diop,Fulham,0,0.27,0.0
Said Benrahma,West Ham,0,1.92,1.63
Serge Aurier,Nottingham Forest,0,0.2,0.6
Emiliano Martinez,Aston Villa,0,0.0,0.02
Clement Lenglet,Aston Villa,0,0.98,0.86
Nick Pope,Newcastle United,0,0.02,0.0
Connor Roberts,Burnley,0,0.0,0.31
Rhian Brewster,Sheffield United,0,0.34,0.1
Aaron Wan-Bissaka,Manchester United,0,0.15,1.43
Aaron Ramsdale,Arsenal,0,0.0,0.0
Yves Bissouma,Tottenham,0,1.17,0.4
Diego Carlos,Aston Villa,0,1.81,0.11
Ibrahim Sangare,Nottingham Forest,0,0.83,0.35
Boubacar Kamara,Aston Villa,0,0.14,1.1
Fode Toure,Fulham,0,0.0,0.0
Jairo Riedewald,Crystal Palace,0,0.06,0.0
Ederson,Manchester City,0,0.0,0.0
Will Hughes,Crystal Palace,0,0.3,1.71
Nélson Semedo,Wolverhampton Wanderers,0,1.23,2.01
Davinson Sánchez,Tottenham,0,0.11,0.0
Ibrahima Konaté,Liverpool,0,0.55,0.51
Jadon Sancho,Manchester United,0,0.0,0.13
Romain Faivre,Bournemouth,0,0.13,0.0
Ben Johnson,West Ham,0,0.22,0.0
Reiss Nelson,Arsenal,0,0.24,0.64
Michael Obafemi,Burnley,0,0.12,0.0
Martin Dubravka,Newcastle United,0,0.0,0.12
Louis Beyer,Burnley,0,0.43,0.41
Sergio Gómez,Manchester City,0,0.62,0.13
Matz Sels,Nottingham Forest,0,0.0,0.07
Robin Olsen,Aston Villa,0,0.0,0.0
Hamed Junior Traore,Bournemouth,0,0.14,0.06
Arijanet Muric,Burnley,0,0.0,0.37
Mark Flekken,Brentford,0,0.0,0.29
Marc Cucurella,Chelsea,0,1.45,1.25
Sergio Reguilón,"Brentford,Manchester United",0,1.18,3.64
Oliver Skipp,Tottenham,0,0.68,0.54
Emile Smith-Rowe,Arsenal,0,1.52,0.24
Jason Steele,Brighton,0,0.0,0.0
Benoit Badiashile Mukinayi,Chelsea,0,0.52,1.55
Han-Noah Massengo,Burnley,0,0.0,0.0
Ryan John Giles,Luton,0,0.15,0.23
Bryan Gil Salvatierra,Tottenham,0,0.79,0.19
Tyler Adams,Bournemouth,0,0.0,0.1
Chris Mepham,Bournemouth,0,0.09,0.47
Mark Travers,Bournemouth,0,0.0,0.0
Marc Guehi,Crystal Palace,0,0.49,0.96
Max Aarons,Bournemouth,0,0.05,0.88
Ben Godfrey,Everton,0,2.17,0.2
Adam Webster,Brighton,0,0.46,0.21
Dean Henderson,Crystal Palace,0,0.0,0.0
John Egan,Sheffield United,0,0.24,0.0
Chris Basham,Sheffield United,0,0.41,0.14
George Baldock,Sheffield United,0,0.02,0.86
John Fleck,Sheffield United,0,0.0,0.11
Ben Osborn,Sheffield United,0,0.18,1.08
Caoimhin Kelleher,Liverpool,0,0.0,0.04
Felipe,Nottingham Forest,0,0.17,0.04
Sofyan Amrabat,Manchester United,0,0.07,0.27
Igor Julio,Brighton,0,0.22,0.62
Billy Gilmour,Brighton,0,0.73,2.09
Marvelous Nakamba,Luton,0,0.14,0.33
Reece James,Chelsea,0,0.34,2.68
Lloyd Kelly,Bournemouth,0,0.31,1.65
Boubacar Traore,Wolverhampton Wanderers,0,0.27,0.28
Giovanni Reyna,Nottingham Forest,0,0.21,0.39
Neco Williams,Nottingham Forest,0,0.93,1.11
Tariq Lamptey,Brighton,0,0.57,1.21
Tommy Doyle,Wolverhampton Wanderers,0,0.41,0.68
Luke Thomas,Sheffield United,0,0.69,0.07
Cheick Oumar Doucoure,Crystal Palace,0,0.2,0.74
Kalvin Phillips,"Manchester City,West Ham",0,0.19,0.0
Wes Foderingham,Sheffield United,0,0.0,0.07
Fabio Silva,Wolverhampton Wanderers,0,0.91,0.24
Stefan Ortega Moreno,Manchester City,0,0.0,0.0
Donny van de Beek,Manchester United,0,0.03,0.07
Konstantinos Tsimikas,Liverpool,0,0.09,1.17
Guglielmo Vicario,Tottenham,0,0.0,0.0
Mikkel Damsgaard,Brentford,0,0.88,2.29
Max Lowe,Sheffield United,0,0.94,0.01
Ivo Grbic,Sheffield United,0,0.0,0.0
Antonee Robinson,Fulham,0,0.85,3.77
Aaron Hickey,Brentford,0,0.19,0.05
Rúben Dias,Manchester City,0,1.83,0.6
Vladimir Coufal,West Ham,0,0.29,4.3
Malo Gusto,Chelsea,0,1.7,5.51
James Trafford,Burnley,0,0.0,0.0
Robert Sánchez,Chelsea,0,0.0,0.0
Radu Dragusin,Tottenham,0,0.07,0.0
Elliot Anderson,Newcastle United,0,1.34,1.52
Antwoine Hackford,Sheffield United,0,0.0,0.0
Naouirou Ahamada,Crystal Palace,0,0.53,0.06
Jakub Moder,Brighton,0,0.89,0.76
Tyler Onyango,Everton,0,0.0,0.0
Facundo Pellistri,Manchester United,0,0.37,0.07
Dane Scarlett,Tottenham,0,0.0,0.0
Kaine Hayden,Aston Villa,0,0.0,0.0
Jaden Philogene-Bidace,Aston Villa,0,0.0,0.0
Chimuanya Ugochukwu,Chelsea,0,0.0,0.19
Jesurun Rak-Sakyi,Crystal Palace,0,0.36,0.08
